dst_path,image_path,design_name,file_name,designer
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\LN Dgn - 0572 H1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_LN Dgn - 0572 H1.png,0572,LN Dgn - 0572 H1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\LN Dgn - 0572 Hand full.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_LN Dgn - 0572 Hand full.png,0572,LN Dgn - 0572 Hand full.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\LN-Alter neck.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_LN-Alter neck.png,0572,LN-Alter neck.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\R-BACK.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_R-BACK.png,0572,R-BACK.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\small hand.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_small hand.png,0572,small hand.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\126 design\126_ (2nd).DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_126 design_126_ (2nd).png,126 design,126_ (2nd).DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\126 design\126_ (HAND).DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_126 design_126_ (HAND).png,126 design,126_ (HAND).DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\126 design\126_ bn.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_126 design_126_ bn.png,126 design,126_ bn.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\126 design\126_ H.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_126 design_126_ H.png,126 design,126_ H.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\126 design\126_BN.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_126 design_126_BN.png,126 design,126_BN.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\126 design\126_buti 2.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_126 design_126_buti 2.png,126 design,126_buti 2.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\126 design\126_buti.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_126 design_126_buti.png,126 design,126_buti.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\B1-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_B1-LC 1689.png,1689 design,B1-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\B2-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_B2-LC 1689.png,1689 design,B2-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\B3-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_B3-LC 1689.png,1689 design,B3-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\FR-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_FR-LC 1689.png,1689 design,FR-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\FR1-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_FR1-LC 1689.png,1689 design,FR1-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\FULL-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_FULL-LC 1689.png,1689 design,FULL-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\FULL1-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_FULL1-LC 1689.png,1689 design,FULL1-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\H-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_H-LC 1689.png,1689 design,H-LC 1689.DST,Bindu
